instance_name,variant,seed,n_iterations,xi_min,xi_max,cooling_rate,segment_size,total_cost,rider_cost,drone_cost,delay_cost,self_pickup_cost,drone_served_orders,drone_mode_ratio,on_time_rate,average_delay,feasible,cpu_time
RDL-n25-03,Full-ALNS,8,10000,0.1,0.4,0.997,100,447.230339,405.036234,38.123438,0.0,4.070667,4,0.16,1.0,0.0,True,21.819874
RDL-n25-03,Full-ALNS,9,10000,0.1,0.4,0.997,100,450.272502,432.814884,16.860961,0.0,0.596657,1,0.04,1.0,0.0,True,21.457587
RDL-n25-03,Full-ALNS,10,10000,0.1,0.4,0.997,100,446.554684,442.020789,2.285607,0.0,2.248288,1,0.04,1.0,0.0,True,22.715819
RDL-n25-03,Generic-ALNS,1,10000,0.1,0.4,0.997,100,833.379196,399.494046,0.0,433.88515,0.0,0,0.0,0.84,1.735541,True,22.670635
RDL-n25-03,Generic-ALNS,2,10000,0.1,0.4,0.997,100,791.588824,435.143351,2.285607,351.911577,2.248288,1,0.04,0.76,1.407646,True,23.899014
RDL-n25-03,Generic-ALNS,3,10000,0.1,0.4,0.997,100,1183.837914,392.612361,10.624425,779.532111,1.069018,1,0.04,0.72,3.118128,True,23.978312
RDL-n25-03,Generic-ALNS,4,10000,0.1,0.4,0.997,100,1018.679577,393.046958,10.624425,613.939176,1.069018,1,0.04,0.72,2.455757,True,22.814759
RDL-n25-03,Generic-ALNS,5,10000,0.1,0.4,0.997,100,874.742808,391.471098,19.146568,461.280196,2.844946,2,0.08,0.68,1.845121,True,24.202519
RDL-n25-03,Generic-ALNS,6,10000,0.1,0.4,0.997,100,1202.776035,394.995578,10.624425,796.087015,1.069018,1,0.04,0.68,3.184348,True,24.309151
RDL-n25-03,Generic-ALNS,7,10000,0.1,0.4,0.997,100,714.615991,407.458941,2.285607,302.623154,2.248288,1,0.04,0.8,1.210493,True,23.908169
RDL-n25-03,Generic-ALNS,8,10000,0.1,0.4,0.997,100,1090.230879,384.254057,0.0,705.976822,0.0,0,0.0,0.68,2.823907,True,23.012934
RDL-n25-03,Generic-ALNS,9,10000,0.1,0.4,0.997,100,1090.864246,403.404743,0.0,687.459504,0.0,0,0.0,0.76,2.749838,True,24.225995
RDL-n25-03,Generic-ALNS,10,10000,0.1,0.4,0.997,100,752.601304,401.512622,0.0,351.088683,0.0,0,0.0,0.84,1.404355,True,22.796227
RDL-n25-03,No-Adaptive,1,10000,0.1,0.4,0.997,100,454.218818,429.482331,21.262477,0.0,3.47401,3,0.12,1.0,0.0,True,19.38098
RDL-n25-03,No-Adaptive,2,10000,0.1,0.4,0.997,100,436.451822,436.451822,0.0,0.0,0.0,0,0.0,1.0,0.0,True,19.238812
RDL-n25-03,No-Adaptive,3,10000,0.1,0.4,0.997,100,455.773213,449.41216,2.285607,1.827158,2.248288,1,0.04,0.96,0.007309,True,19.226885
RDL-n25-03,No-Adaptive,4,10000,0.1,0.4,0.997,100,456.802577,456.802577,0.0,0.0,0.0,0,0.0,1.0,0.0,True,19.330985
RDL-n25-03,No-Adaptive,5,10000,0.1,0.4,0.997,100,451.801468,414.141258,35.837831,0.0,1.822379,3,0.12,1.0,0.0,True,19.137264
RDL-n25-03,No-Adaptive,6,10000,0.1,0.4,0.997,100,435.566096,415.363504,18.97687,0.0,1.225722,2,0.08,1.0,0.0,True,19.346311
RDL-n25-03,No-Adaptive,7,10000,0.1,0.4,0.997,100,450.753126,433.295508,16.860961,0.0,0.596657,1,0.04,1.0,0.0,True,19.277019
RDL-n25-03,No-Adaptive,8,10000,0.1,0.4,0.997,100,444.301237,444.301237,0.0,0.0,0.0,0,0.0,1.0,0.0,True,19.086014
RDL-n25-03,No-Adaptive,9,10000,0.1,0.4,0.997,100,452.866709,428.130222,21.262477,0.0,3.47401,3,0.12,1.0,0.0,True,19.202232
RDL-n25-03,No-Adaptive,10,10000,0.1,0.4,0.997,100,460.082774,455.275621,0.0,4.807153,0.0,0,0.0,0.96,0.019229,True,19.50052
RDL-n25-03,No-Restart,1,10000,0.1,0.4,0.997,100,456.869247,432.132759,21.262477,0.0,3.47401,3,0.12,1.0,0.0,True,21.969376
RDL-n25-03,No-Restart,2,10000,0.1,0.4,0.997,100,460.675994,440.473402,18.97687,0.0,1.225722,2,0.08,1.0,0.0,True,21.623903
RDL-n25-03,No-Restart,3,10000,0.1,0.4,0.997,100,458.635813,449.680708,4.571214,0.0,4.383891,2,0.08,0.96,0.029688,True,23.259697
RDL-n25-03,No-Restart,4,10000,0.1,0.4,0.997,100,444.205133,406.544923,35.837831,0.0,1.822379,3,0.12,1.0,0.0,True,20.923019
RDL-n25-03,No-Restart,5,10000,0.1,0.4,0.997,100,435.887811,410.592075,21.262477,0.559249,3.47401,3,0.12,0.96,0.002237,True,20.72593
RDL-n25-03,No-Restart,6,10000,0.1,0.4,0.997,100,450.007507,443.215671,2.285607,2.257941,2.248288,1,0.04,0.96,0.009032,True,22.933161
RDL-n25-03,No-Restart,7,10000,0.1,0.4,0.997,100,458.232034,438.029442,18.97687,0.0,1.225722,2,0.08,0.96,0.007309,True,20.506788
RDL-n25-03,No-Restart,8,10000,0.1,0.4,0.997,100,454.773431,450.239536,2.285607,0.0,2.248288,1,0.04,1.0,0.0,True,21.110247
RDL-n25-03,No-Restart,9,10000,0.1,0.4,0.997,100,450.065812,432.608194,16.860961,0.0,0.596657,1,0.04,1.0,0.0,True,19.804403
RDL-n25-03,No-Restart,10,10000,0.1,0.4,0.997,100,456.055248,441.161596,11.774042,0.0,3.119609,2,0.08,1.0,0.0,True,20.685425
RDL-n25-03,No-Penalty,1,10000,0.1,0.4,0.997,100,439.905975,430.95087,4.571214,0.0,4.383891,2,0.08,1.0,0.0,True,21.901731
RDL-n25-03,No-Penalty,2,10000,0.1,0.4,0.997,100,440.561092,431.605986,4.571214,0.0,4.383891,2,0.08,1.0,0.0,True,22.38661
RDL-n25-03,No-Penalty,3,10000,0.1,0.4,0.997,100,436.531033,416.328441,18.97687,0.0,1.225722,2,0.08,1.0,0.0,True,21.448555
RDL-n25-03,No-Penalty,4,10000,0.1,0.4,0.997,100,453.66547,452.893161,0.0,0.772309,0.0,0,0.0,0.96,0.003089,True,21.793306
RDL-n25-03,No-Penalty,5,10000,0.1,0.4,0.997,100,452.83698,448.303085,2.285607,0.0,2.248288,1,0.04,1.0,0.0,True,22.011097
RDL-n25-03,No-Penalty,6,10000,0.1,0.4,0.997,100,456.646213,439.188595,16.860961,0.0,0.596657,1,0.04,1.0,0.0,True,21.811781
RDL-n25-03,No-Penalty,7,10000,0.1,0.4,0.997,100,443.407626,443.407626,0.0,0.0,0.0,0,0.0,1.0,0.0,True,21.868535
RDL-n25-03,No-Penalty,8,10000,0.1,0.4,0.997,100,445.263785,407.603575,35.837831,0.0,1.822379,3,0.12,1.0,0.0,True,21.439594
RDL-n25-03,No-Penalty,9,10000,0.1,0.4,0.997,100,441.89991,441.89991,0.0,0.0,0.0,0,0.0,1.0,0.0,True,21.878932
RDL-n25-03,No-Penalty,10,10000,0.1,0.4,0.997,100,454.39829,449.864395,2.285607,0.0,2.248288,1,0.04,1.0,0.0,True,21.742643
RDL-n25-03,No-DelayAware,1,10000,0.1,0.4,0.997,100,665.874428,454.279055,0.0,211.595373,0.0,0,0.0,0.88,0.846381,True,21.93639
RDL-n25-03,No-DelayAware,2,10000,0.1,0.4,0.997,100,735.624489,432.263667,0.0,303.360822,0.0,0,0.0,0.96,1.213443,True,21.978336
RDL-n25-03,No-DelayAware,3,10000,0.1,0.4,0.997,100,697.773959,483.120084,2.285607,210.11998,2.248288,1,0.04,0.76,0.84048,True,21.442789
RDL-n25-03,No-DelayAware,4,10000,0.1,0.4,0.997,100,499.209578,440.754773,0.0,58.454805,0.0,0,0.0,0.92,0.233819,True,22.974551
RDL-n25-03,No-DelayAware,5,10000,0.1,0.4,0.997,100,633.999628,451.782773,0.0,182.216855,0.0,0,0.0,0.88,0.728867,True,22.425471
RDL-n25-03,No-DelayAware,6,10000,0.1,0.4,0.997,100,664.10316,381.521656,34.172509,242.204739,6.204256,5,0.2,0.88,0.968819,True,21.003161
RDL-n25-03,No-DelayAware,7,10000,0.1,0.4,0.997,100,714.764962,455.41829,0.0,259.346671,0.0,0,0.0,0.84,1.037387,True,22.917672
