parameter_name,parameter_value,runs,feasible_runs,feasible_rate,total_cost_mean,total_cost_std,total_cost_ci95_low,total_cost_ci95_high,rider_cost_mean,rider_cost_std,rider_cost_ci95_low,rider_cost_ci95_high,drone_cost_mean,drone_cost_std,drone_cost_ci95_low,drone_cost_ci95_high,delay_cost_mean,delay_cost_std,delay_cost_ci95_low,delay_cost_ci95_high,self_pickup_cost_mean,self_pickup_cost_std,self_pickup_cost_ci95_low,self_pickup_cost_ci95_high,drone_served_orders_mean,drone_served_orders_std,drone_served_orders_ci95_low,drone_served_orders_ci95_high,drone_mode_ratio_mean,drone_mode_ratio_std,drone_mode_ratio_ci95_low,drone_mode_ratio_ci95_high,on_time_rate_mean,on_time_rate_std,on_time_rate_ci95_low,on_time_rate_ci95_high,average_delay_mean,average_delay_std,average_delay_ci95_low,average_delay_ci95_high,max_delay_mean,max_delay_std,max_delay_ci95_low,max_delay_ci95_high,average_walking_distance_mean,average_walking_distance_std,average_walking_distance_ci95_low,average_walking_distance_ci95_high,drone_utilization_mean,drone_utilization_std,drone_utilization_ci95_low,drone_utilization_ci95_high,cpu_time_mean,cpu_time_std,cpu_time_ci95_low,cpu_time_ci95_high
drone_range,24.0,80,80,1.0,469.3753374375,121.32963088736612,442.3747507226754,496.37592415232456,443.6120045625,109.75661406586555,419.18686658147345,468.0371425435265,22.200336425,22.509305143638876,17.191135943829217,27.209536906170783,0.4197818875,1.222953741613167,0.14762686397322988,0.6919369110267701,3.1432146750000003,2.351778910320811,2.61985191573173,3.6665774342682704,2.4375,1.6523381975211193,2.0697901466188218,2.8052098533811782,0.0975,0.06609352790084479,0.08279160586475287,0.11220839413524714,0.992,0.01844595252506528,0.9878950543486535,0.9961049456513464,0.0019212624999999997,0.004963316168240516,0.0008167305928842804,0.003025794407115719,0.044717175,0.11450327313079389,0.019235719788376415,0.07019863021162358,0.584636075,0.4138596631920197,0.49253611852557716,0.6767360314744228,0.3046875,0.20654227469013992,0.2587237683273527,0.3506512316726473,20.137683275,2.6141445894761914,19.55593389393771,20.719432656062292
drone_range,30.0,80,80,1.0,469.34026652499995,121.32820156177837,442.3399978910036,496.3405351589963,443.52144907499996,109.77583395244956,419.0920339177341,467.9508642322658,22.200336425,22.509305143638876,17.191135943829217,27.209536906170783,0.475266475,1.3057991072489874,0.18467511846527845,0.7658578315347215,3.1432146750000003,2.351778910320811,2.61985191573173,3.6665774342682704,2.4375,1.6523381975211193,2.0697901466188218,2.8052098533811782,0.0975,0.06609352790084479,0.08279160586475287,0.11220839413524714,0.9914999999999999,0.01981560566442776,0.9870902529733578,0.995909747026642,0.0021432,0.005279936081316213,0.0009682077827678113,0.003318192217232189,0.048608887499999996,0.11850321614703001,0.02223728857431121,0.07498048642568877,0.584636075,0.4138596631920197,0.49253611852557716,0.6767360314744228,0.3046875,0.20654227469013992,0.2587237683273527,0.3506512316726473,20.03568405,2.559283884379502,19.466143320809195,20.605224779190806
number_of_lockers,2.0,80,80,1.0,482.87757899999997,127.45915202886404,454.51293417430054,511.2422238256994,472.18295865,120.11489818968784,445.45269745499377,498.9132198450062,9.1349659625,15.943080130074668,5.587007278334071,12.682924646665931,0.6074302749999999,1.4876599598008131,0.27636776823227455,0.9384927817677253,0.9522241874999999,1.50792903781265,0.6166510183781115,1.2877973566218883,0.9625,1.4359202932640778,0.6429515919953221,1.282048408004678,0.0385,0.05743681173056311,0.025718063679812886,0.05128193632018711,0.9884999999999999,0.027883119524730007,0.9822949157093687,0.9947050842906312,0.0035455124999999995,0.011380442113938391,0.0010129191680735995,0.0060781058319264,0.07375767500000001,0.26868933637081077,0.013963792228168646,0.13355155777183136,0.165199125,0.2346168583294671,0.11298770078520733,0.2174105492147927,0.1203125,0.17949003665800972,0.08036894899941527,0.16025605100058474,16.1784663125,0.8666216070439029,15.98560912107203,16.371323503927968
number_of_lockers,3.0,80,80,1.0,474.3180929125001,120.2807283283688,447.55092802787874,501.08525779712147,455.8320064625001,108.02069733603466,431.7931778261136,479.8708350988866,16.19794535,21.67419908881768,11.374588617667513,21.02130208233249,0.45485377499999996,1.247475075173047,0.17724179600155854,0.7324657539984414,1.833287525,2.0210887758223257,1.383516250243475,2.283058799756525,1.7875,1.6740290970355083,1.414963073388833,2.160036926611167,0.0715,0.06696116388142033,0.056598522935553314,0.08640147706444667,0.9915,0.022675476074161562,0.9864538199897048,0.9965461800102953,0.0029352,0.010971891051711773,0.0004935252532733189,0.005376874746726681,0.065117675,0.2646654715337776,0.00621925948267555,0.12401609051732446,0.3092894875,0.25890198166399603,0.2516736738242118,0.36690530117578823,0.2234375,0.20925363712943854,0.17687038417360412,0.2700046158263959,18.194693074999996,1.573703805051997,17.844482448453203,18.54490370154679
number_of_lockers,4.0,80,80,1.0,470.86126588750005,120.89091526803203,443.9583105512295,497.7642212237706,444.0278528375,109.37239519682018,419.68821857733093,468.3674870976691,23.324107500000004,23.953620091457793,17.993490471965213,28.654724528034794,0.37828239999999996,1.277379753436754,0.09401546085099383,0.662549339149006,3.1310233750000003,2.621105343471644,2.5477249540166276,3.714321795983373,2.475,1.7929185597860593,2.076005519492084,2.8739944805079163,0.099,0.07171674239144236,0.08304022077968337,0.11495977922031664,0.993,0.023621487750442476,0.9877432954038154,0.9982567045961845,0.00151315,0.00510955664082734,0.0003760738699074295,0.0026502261300925707,0.029566500000000003,0.09533301917084054,0.008351175828298894,0.050781824171701115,0.5308664875,0.3800796914966014,0.4462838954840017,0.6154490795159983,0.309375,0.2241148199732574,0.2595006899365105,0.35924931006348954,20.1783882875,2.2711281608302247,19.67297347334052,20.68380310165948
number_of_lockers,5.0,80,80,1.0,470.11512497500007,121.0099969226799,443.1856693146211,497.044580635379,443.440907325,109.5335929737828,419.0654002568179,467.81641439318213,23.3134846625,23.666334620825488,18.046799884196666,28.58016944080333,0.34460008750000004,1.2156110240323246,0.07407910572637805,0.615121069273622,3.01613305,2.485733513639109,2.462960154029812,3.5693059459701884,2.45,1.7422522888418552,2.062280745767319,2.8377192542326815,0.098,0.06969009155367421,0.08249122983069276,0.11350877016930724,0.9954999999999998,0.015581553520961324,0.9920324951216165,0.9989675048783832,0.001378425,0.004862519622881885,0.00029632426525005623,0.002460525734749944,0.0311465125,0.11136045430896273,0.00636445735666321,0.05592856764333679,0.52112865,0.38044360869694865,0.43646507217820035,0.6057922278217995,0.30625,0.2177815361052319,0.25778509322091486,0.3547149067790852,20.17198765,2.2529362048691994,19.670621257325408,20.67335404267459
number_of_lockers,6.0,80,80,1.0,469.0744637125,121.09829212833687,442.1253589166262,496.0235685083738,443.8463814375,109.58178982499396,419.46014868548457,468.2326141895154,22.0496304125,22.58617782217969,17.023322754724774,27.075938070275228,0.40239499999999995,1.307177432387166,0.11149691223118136,0.6932930877688186,2.7760569875,2.0134209868652926,2.327992095587725,3.2241218794122752,2.4,1.6733200530681511,2.027620863394335,2.772379136605665,0.096,0.06693280212272605,0.08110483453577338,0.11089516546422662,0.9940000000000001,0.019199156099597416,0.9897274371039679,0.9982725628960323,0.0016096125,0.005228810186062129,0.00044599779342275117,0.002773227206577249,0.0351537375,0.11590080680726857,0.009361276403477847,0.060946198596522144,0.5113847,0.3676903344346893,0.4295592243392112,0.5932101756607888,0.3,0.2091650066335189,0.25345260792429186,0.3465473920757081,20.16847435,2.2267525892933833,19.67293483553885,20.66401386446115
number_of_lockers,8.0,80,80,1.0,468.95120193750006,121.07485299082971,442.00731326616364,495.8950906088365,443.8247616625,109.58225840278219,419.4384246336059,468.2110986913941,22.0413657,22.57353858948337,17.017870765678474,27.064860634321526,0.40123983750000003,1.3018543737183728,0.11152633841016851,0.6909533365898315,2.6838348375,1.9689754966728863,2.2456608049206523,3.122008870079348,2.4,1.6733200530681511,2.027620863394335,2.772379136605665,0.096,0.06693280212272605,0.08110483453577338,0.11089516546422662,0.9945,0.017710756225411416,0.9905586642706161,0.998441335729384,0.0016049874999999997,0.005207498175996447,0.00044611554893628116,0.002763859451063718,0.0351537375,0.11590080680726857,0.009361276403477847,0.060946198596522144,0.493185125,0.362818323215868,0.4124438623251676,0.5739263876748324,0.3,0.2091650066335189,0.25345260792429186,0.3465473920757081,20.1895639,2.1930335941468724,19.70152818033103,20.677599619668968
number_of_lockers,10.0,80,80,1.0,468.58357678749996,121.17659818006722,441.6170458334439,495.550107741556,443.7111378375001,109.26169422755686,419.3961388712666,468.02613680373355,21.586787774999998,22.18071816826681,16.650710743204343,26.522864806795653,0.47823312500000004,1.3632681397008075,0.17485266177482028,0.7816135882251798,2.80741795,1.8472869780144665,2.3963243706966155,3.2185115293033846,2.4125,1.6435046683647447,2.0467559522364622,2.778244047763538,0.0965,0.06574018673458978,0.08187023808945848,0.11112976191054152,0.993,0.018853197022645353,0.9888044265251728,0.9971955734748272,0.0019129624999999998,0.005453159322219795,0.0006994213388467501,0.0031265036611532494,0.0428530625,0.12307417182655957,0.015464247216756058,0.07024187778324394,0.5369661125,0.364997150507691,0.45573997556321505,0.6181922494367851,0.3015625,0.2054380835455931,0.2558444940295578,0.34728050597044224,20.207411437500003,2.2568383741235505,19.7051766595962,20.709646215403804
self_pickup_compensation_cW,0.0,80,80,1.0,468.7788506500001,119.66485121960802,442.1487425021309,495.4089587978693,439.31994833749997,110.12498423137579,414.81283359181776,463.82706308318217,28.875489625,23.70373048547527,23.60048280467884,34.15049644532116,0.5834128125,1.6057782055710053,0.22606437776731014,0.9407612472326898,0.0,0.0,0.0,0.0,2.9625,1.694695745815772,2.585363935994157,3.339636064005843,0.11850000000000001,0.06778782983263087,0.10341455743976628,0.13358544256023372,0.9904999999999999,0.029334388166687986,0.9839719516936776,0.9970280483063223,0.0028185124999999998,0.008693017069579102,0.0008839763155248741,0.004753048684475125,0.05361283750000001,0.1588752632936255,0.018256879585791926,0.0889687954142081,0.6958867874999999,0.35539515635091096,0.6167974696895011,0.7749761053104987,0.3703125,0.2118369682269715,0.3231704919992696,0.41745450800073036,20.2204452,2.591399770996252,19.643757430344497,20.797132969655504
