instance_name,parameter_name,parameter_value,seed,n_iterations,xi_min,xi_max,cooling_rate,segment_size,total_cost,rider_cost,drone_cost,delay_cost,self_pickup_cost,drone_served_orders,drone_mode_ratio,on_time_rate,average_delay,max_delay,average_walking_distance,drone_utilization,feasible,cpu_time,incumbent_inherited,initial_incumbent_cost
RDL-n25-01,drone_range,30,10,10000,0.1,0.4,0.997,100,254.609666,229.182622,21.203031,0.0,4.224014,4,0.16,1.0,0.0,0.0,0.528002,0.5,True,20.915215,False,
RDL-n25-02,drone_range,8,1,10000,0.1,0.4,0.997,100,503.528985,469.965389,28.44295,2.633193,2.487453,4,0.16,0.92,0.010533,0.23166,0.310932,0.5,True,21.611645,False,
RDL-n25-02,drone_range,12,1,10000,0.1,0.4,0.997,100,503.528985,469.965389,28.44295,2.633193,2.487453,4,0.16,0.92,0.010533,0.23166,0.310932,0.5,True,21.754276,False,
RDL-n25-02,drone_range,16,1,10000,0.1,0.4,0.997,100,489.036215,440.734914,36.45335,4.53118,7.31677,3,0.12,0.92,0.018125,0.320578,1.219462,0.375,True,22.76112,False,
RDL-n25-02,drone_range,20,1,10000,0.1,0.4,0.997,100,489.036215,440.734914,36.45335,4.53118,7.31677,3,0.12,0.92,0.018125,0.320578,1.219462,0.375,True,22.496762,False,
RDL-n25-02,drone_range,24,1,10000,0.1,0.4,0.997,100,489.036215,440.734914,36.45335,4.53118,7.31677,3,0.12,0.92,0.018125,0.320578,1.219462,0.375,True,22.70344,False,
RDL-n25-02,drone_range,30,1,10000,0.1,0.4,0.997,100,489.036215,440.734914,36.45335,4.53118,7.31677,3,0.12,0.92,0.018125,0.320578,1.219462,0.375,True,21.892061,False,
RDL-n25-02,drone_range,8,2,10000,0.1,0.4,0.997,100,502.892748,469.329152,28.44295,2.633193,2.487453,4,0.16,0.92,0.010533,0.23166,0.310932,0.5,True,22.092765,False,
RDL-n25-02,drone_range,12,2,10000,0.1,0.4,0.997,100,502.892748,469.329152,28.44295,2.633193,2.487453,4,0.16,0.92,0.010533,0.23166,0.310932,0.5,True,23.308966,False,
RDL-n25-02,drone_range,16,2,10000,0.1,0.4,0.997,100,478.159873,428.125667,43.344968,0.0,6.689238,4,0.16,1.0,0.0,0.0,0.836155,0.5,True,22.757913,False,
RDL-n25-02,drone_range,20,2,10000,0.1,0.4,0.997,100,478.159873,428.125667,43.344968,0.0,6.689238,4,0.16,1.0,0.0,0.0,0.836155,0.5,True,22.549041,False,
RDL-n25-02,drone_range,24,2,10000,0.1,0.4,0.997,100,478.159873,428.125667,43.344968,0.0,6.689238,4,0.16,1.0,0.0,0.0,0.836155,0.5,True,23.312916,False,
RDL-n25-02,drone_range,30,2,10000,0.1,0.4,0.997,100,478.159873,428.125667,43.344968,0.0,6.689238,4,0.16,1.0,0.0,0.0,0.836155,0.5,True,22.607071,False,
RDL-n25-02,drone_range,8,3,10000,0.1,0.4,0.997,100,509.525777,504.994597,0.0,4.53118,0.0,0,0.0,0.92,0.018125,0.320578,0.0,0.0,True,21.792116,False,
RDL-n25-02,drone_range,12,3,10000,0.1,0.4,0.997,100,509.525777,504.994597,0.0,4.53118,0.0,0,0.0,0.92,0.018125,0.320578,0.0,0.0,True,21.44394,False,
RDL-n25-02,drone_range,16,3,10000,0.1,0.4,0.997,100,489.036215,440.734914,36.45335,4.53118,7.31677,3,0.12,0.92,0.018125,0.320578,1.219462,0.375,True,21.798789,False,
RDL-n25-02,drone_range,20,3,10000,0.1,0.4,0.997,100,489.036215,440.734914,36.45335,4.53118,7.31677,3,0.12,0.92,0.018125,0.320578,1.219462,0.375,True,21.572308,False,
RDL-n25-02,drone_range,24,3,10000,0.1,0.4,0.997,100,489.036215,440.734914,36.45335,4.53118,7.31677,3,0.12,0.92,0.018125,0.320578,1.219462,0.375,True,21.537179,False,
