Setting,Instance,n,Iterations,Run,XiMin,XiMax,Eta,Psi,Penalty,RestartFraction,Cost,RiderCost,DroneCost,DelayCost,WalkCost,Direct,Drone,Restarts,Time,Feasible
Penalty-1e5,RDL-tune-n25-06,25,10000,2,0.1,0.4,0.997,100,100000.0,0.05,508.588131,508.59,0.0,0.0,0.0,25,0,15,21.891389,True
Penalty-1e5,RDL-tune-n25-07,25,10000,0,0.1,0.4,0.997,100,100000.0,0.05,593.759533,574.36,11.65,6.11,1.64,24,1,16,18.097545,True
Penalty-1e5,RDL-tune-n25-07,25,10000,1,0.1,0.4,0.997,100,100000.0,0.05,593.759533,574.36,11.65,6.11,1.64,24,1,15,18.22853,True
Penalty-1e5,RDL-tune-n25-07,25,10000,2,0.1,0.4,0.997,100,100000.0,0.05,599.331996,579.93,11.65,6.11,1.64,24,1,17,18.603197,True
Penalty-1e5,RDL-tune-n25-08,25,10000,0,0.1,0.4,0.997,100,100000.0,0.05,503.959326,421.4,70.06,3.5,9.0,18,7,18,24.202729,True
Penalty-1e5,RDL-tune-n25-08,25,10000,1,0.1,0.4,0.997,100,100000.0,0.05,511.783592,449.51,50.92,3.5,7.85,20,5,16,24.47399,True
Penalty-1e5,RDL-tune-n25-08,25,10000,2,0.1,0.4,0.997,100,100000.0,0.05,512.655305,451.79,50.92,2.47,7.47,20,5,15,24.44375,True
Restart-0.025,RDL-tune-n25-01,25,10000,0,0.1,0.4,0.997,100,10000.0,0.025,443.931956,442.73,0.0,1.2,0.0,25,0,37,19.898227,True
Restart-0.025,RDL-tune-n25-01,25,10000,1,0.1,0.4,0.997,100,10000.0,0.025,443.812757,442.61,0.0,1.2,0.0,25,0,36,21.276486,True
Restart-0.025,RDL-tune-n25-01,25,10000,2,0.1,0.4,0.997,100,10000.0,0.025,449.051272,449.05,0.0,0.0,0.0,25,0,37,20.674783,True
Restart-0.025,RDL-tune-n25-02,25,10000,0,0.1,0.4,0.997,100,10000.0,0.025,490.771189,406.48,80.49,0.0,3.8,19,6,38,25.96108,True
Restart-0.025,RDL-tune-n25-02,25,10000,1,0.1,0.4,0.997,100,10000.0,0.025,490.524941,405.87,80.49,0.0,4.16,19,6,34,23.866889,True
Restart-0.025,RDL-tune-n25-02,25,10000,2,0.1,0.4,0.997,100,10000.0,0.025,492.186182,407.9,80.49,0.0,3.8,19,6,36,23.7034,True
Restart-0.025,RDL-tune-n25-03,25,10000,0,0.1,0.4,0.997,100,10000.0,0.025,452.608801,385.29,60.76,0.64,5.92,20,5,37,25.857121,True
Restart-0.025,RDL-tune-n25-03,25,10000,1,0.1,0.4,0.997,100,10000.0,0.025,452.392494,385.07,60.76,0.64,5.92,20,5,36,25.465713,True
Restart-0.025,RDL-tune-n25-03,25,10000,2,0.1,0.4,0.997,100,10000.0,0.025,459.534917,404.07,50.03,0.64,4.79,21,4,37,26.237332,True
Restart-0.025,RDL-tune-n25-04,25,10000,0,0.1,0.4,0.997,100,10000.0,0.025,500.734176,484.58,14.77,0.0,1.38,23,2,36,19.013165,True
