parameter_name,lower_level,higher_level,paired_runs,mean_cost_change_high_minus_low,std_cost_change,cost_change_ci95_low,cost_change_ci95_high,mean_paired_rpd,std_paired_rpd,paired_rpd_ci95_low,paired_rpd_ci95_high,mean_drone_ratio_change,std_drone_ratio_change,drone_ratio_change_ci95_low,drone_ratio_change_ci95_high,higher_better,tie,higher_worse,wilcoxon_p,holm_p,incumbent_inheritance
drone_range,24.0,30.0,80,-0.03507091250000016,0.2909127576752348,-0.09981037542106333,0.029668550421063006,-0.0073763650582956645,0.06118871561051089,-0.020993246686692446,0.006240516570101115,0.0,0.0,0.0,0.0,2,78,0,0.15730741684009697,0.15730741684009697,True
number_of_lockers,2.0,3.0,80,-8.559486087499996,9.70937457766902,-10.720201555879152,-6.398770619120841,-1.5250373247114877,1.4934626636869326,-1.8573911599726052,-1.1926834894503702,0.03300000000000001,0.045350952148323125,0.0229076399794095,0.04309236002059052,59,21,0,3.176464036090342e-13,1.9058784216542053e-12,True
number_of_lockers,3.0,4.0,80,-3.4568270250000053,6.121528294012932,-4.8191064147987515,-2.094547635201259,-0.7797702158633735,1.2493796615169832,-1.0578060397903721,-0.5017343919363748,0.027500000000000004,0.060242127486092596,0.014093771239741476,0.04090622876025853,41,39,0,3.339511464187033e-10,1.6697557320935166e-09,True
number_of_lockers,4.0,5.0,80,-0.7461409124999896,1.8509670374971794,-1.1580534489241696,-0.33422837607580963,-0.17173541121837935,0.4032411791992819,-0.2614723398344875,-0.08199848260227124,-0.0009999999999999998,0.016808677686529067,-0.00474058798429859,0.0027405879842985897,38,42,0,1.2756262469538107e-09,5.102504987815243e-09,True
number_of_lockers,5.0,6.0,80,-1.040661262499998,2.472730513868937,-1.5909404826196982,-0.4903820423802978,-0.22707684183210852,0.5293196563140464,-0.34487116112280325,-0.1092825225414138,-0.0019999999999999996,0.021012353208095757,-0.006676070146495338,0.002676070146495339,17,63,0,3.895260046267898e-05,3.895260046267898e-05,True
number_of_lockers,6.0,8.0,80,-0.12326177500000383,0.24074833925229236,-0.17683769345364178,-0.06968585654636589,-0.025095241009090108,0.04844259883826433,-0.035875613297853194,-0.014314868720327023,0.0,0.0,0.0,0.0,22,58,0,2.99172599615436e-06,5.98345199230872e-06,True
number_of_lockers,8.0,10.0,80,-0.3676251499999985,1.3315751693873537,-0.6639526881734803,-0.07129761182651673,-0.08428879641865047,0.30697789846443907,-0.15260338129296064,-0.015974211544340325,0.0005000000000000001,0.021577062363842874,-0.00430174001309668,0.005301740013096681,29,51,0,9.134554741996299e-08,2.7403664225988896e-07,True
self_pickup_compensation_cW,0.0,1.0,80,2.3240647125000025,6.906865958616702,0.7870169865704335,3.861112438429571,0.5202058370321752,1.5754724052241769,0.16960162779693472,0.8708100462674155,-0.018,0.06851776079458374,-0.0332478807386894,-0.0027521192613105955,20,0,60,2.476365148294371e-05,9.905460593177484e-05,False
self_pickup_compensation_cW,1.0,2.0,80,1.9185852250000093,6.664410334724559,0.4354933551092175,3.4016770948908013,0.40863111113697154,1.5206153177243127,0.07023474871647845,0.7470274735574647,0.006499999999999997,0.06658201376469493,-0.008317101339162528,0.021317101339162522,22,0,58,0.00020079402688021874,0.0006023820806406562,False
self_pickup_compensation_cW,2.0,4.0,80,4.234667437499986,6.1402514033531075,2.8682214238220345,5.601113451177938,0.9641030271731197,1.4014820368132566,0.6522184777230844,1.275987576623155,-0.0365,0.05555473979710507,-0.04886310172824768,-0.024136898271752312,8,2,70,1.1163856963005146e-10,5.581928481502573e-10,False
self_pickup_compensation_cW,4.0,6.0,80,1.4142373000000006,5.87668365659578,0.10644541515689676,2.7220291848431044,0.27895009774360746,1.2400812117240312,0.002983542453724508,0.5549166530334904,-0.013500000000000002,0.03597115581452605,-0.021504988597585113,-0.005495011402414891,27,3,50,0.010700302488337603,0.021400604976675206,False
self_pickup_compensation_cW,6.0,8.0,80,1.1205068375000082,7.051526882440269,-0.44873360004813345,2.68974727504815,0.21392309108256508,1.5265457710556427,-0.125793029077729,0.5536392112428592,-4.336808689942018e-19,0.028462722678592803,-0.0063340686541507665,0.0063340686541507665,25,1,54,0.0431653926158423,0.0431653926158423,False
delay_penalty_cP,1.0,5.0,80,6.9194326875000005,8.343956272675193,5.062576178192593,8.776289196807408,1.6879788865542635,2.0128610080443403,1.2400386118241473,2.13591916128438,0.0065000000000000014,0.051091875546269025,-0.00486993993982147,0.017869939939821472,12,1,67,8.580318775623048e-12,4.290159387811524e-11,False
delay_penalty_cP,5.0,10.0,80,2.7502267875000017,7.055583352362299,1.1800836267911217,4.3203699482088815,0.6888745430022836,1.6083891868758635,0.3309450628430396,1.0468040231615277,0.010499999999999999,0.05121065949164899,-0.0008963740119776655,0.021896374011977665,14,14,52,7.4347997536520085e-06,2.9739199014608034e-05,False
