Instance,n,Iterations,xi_min,xi_max,eta,psi,Run,Cost,RiderCost,DroneCost,DelayCost,WalkCost,Direct,Drone,Time,Feasible
RDL-tune-n25-03,25,10000,0.3,0.6,0.997,100,0,460.3,404.84,50.03,0.64,4.79,21,4,39.57,True
RDL-tune-n25-03,25,10000,0.3,0.6,0.997,100,1,459.53,404.07,50.03,0.64,4.79,21,4,40.87,True
RDL-tune-n25-03,25,10000,0.3,0.6,0.997,100,2,452.39,385.07,60.76,0.64,5.92,20,5,41.34,True
RDL-tune-n25-03,25,10000,0.3,0.6,0.999,100,0,452.39,385.07,60.76,0.64,5.92,20,5,41.75,True
RDL-tune-n25-03,25,10000,0.3,0.6,0.999,100,1,459.53,404.07,50.03,0.64,4.79,21,4,41.68,True
RDL-tune-n25-03,25,10000,0.3,0.6,0.999,100,2,452.39,385.07,60.76,0.64,5.92,20,5,42.45,True
RDL-tune-n25-04,25,10000,0.1,0.4,0.995,100,0,502.22,493.64,7.54,0.0,1.04,24,1,15.39,True
RDL-tune-n25-04,25,10000,0.1,0.4,0.995,100,1,502.22,493.64,7.54,0.0,1.04,24,1,15.79,True
RDL-tune-n25-04,25,10000,0.1,0.4,0.995,100,2,503.36,494.72,7.23,1.07,0.34,24,1,15.21,True
RDL-tune-n25-04,25,10000,0.1,0.4,0.997,100,0,503.76,503.76,0.0,0.0,0.0,25,0,15.57,True
RDL-tune-n25-04,25,10000,0.1,0.4,0.997,100,1,505.53,505.53,0.0,0.0,0.0,25,0,15.32,True
RDL-tune-n25-04,25,10000,0.1,0.4,0.997,100,2,502.22,493.64,7.54,0.0,1.04,24,1,15.16,True
RDL-tune-n25-04,25,10000,0.1,0.4,0.999,100,0,504.24,495.66,7.54,0.0,1.04,24,1,15.55,True
RDL-tune-n25-04,25,10000,0.1,0.4,0.999,100,1,504.24,495.66,7.54,0.0,1.04,24,1,15.34,True
RDL-tune-n25-04,25,10000,0.1,0.4,0.999,100,2,507.53,496.83,7.54,2.12,1.04,24,1,15.23,True
RDL-tune-n25-04,25,10000,0.2,0.5,0.995,100,0,503.21,494.63,7.54,0.0,1.04,24,1,22.87,True
RDL-tune-n25-04,25,10000,0.2,0.5,0.995,100,1,504.24,495.66,7.54,0.0,1.04,24,1,22.37,True
RDL-tune-n25-04,25,10000,0.2,0.5,0.995,100,2,504.24,495.66,7.54,0.0,1.04,24,1,22.86,True
RDL-tune-n25-04,25,10000,0.2,0.5,0.997,100,0,501.99,501.99,0.0,0.0,0.0,25,0,22.55,True
RDL-tune-n25-04,25,10000,0.2,0.5,0.997,100,1,506.04,498.47,7.23,0.0,0.34,24,1,21.92,True
RDL-tune-n25-04,25,10000,0.2,0.5,0.997,100,2,503.1,495.17,7.23,0.0,0.7,24,1,23.64,True
RDL-tune-n25-04,25,10000,0.2,0.5,0.999,100,0,507.26,487.75,14.77,3.37,1.38,23,2,23.07,True
RDL-tune-n25-04,25,10000,0.2,0.5,0.999,100,1,504.24,495.66,7.54,0.0,1.04,24,1,23.27,True
RDL-tune-n25-04,25,10000,0.2,0.5,0.999,100,2,503.76,503.76,0.0,0.0,0.0,25,0,22.84,True
RDL-tune-n25-04,25,10000,0.3,0.6,0.995,100,0,505.57,496.99,7.54,0.0,1.04,24,1,31.35,True
RDL-tune-n25-04,25,10000,0.3,0.6,0.995,100,1,504.24,495.66,7.54,0.0,1.04,24,1,29.15,True
RDL-tune-n25-04,25,10000,0.3,0.6,0.995,100,2,503.76,503.76,0.0,0.0,0.0,25,0,30.02,True
RDL-tune-n25-04,25,10000,0.3,0.6,0.997,100,0,503.1,495.17,7.23,0.0,0.7,24,1,28.89,True
RDL-tune-n25-04,25,10000,0.3,0.6,0.997,100,1,507.51,498.93,7.54,0.0,1.04,24,1,33.8,True
RDL-tune-n25-04,25,10000,0.3,0.6,0.997,100,2,501.48,492.9,7.54,0.0,1.04,24,1,30.79,True
RDL-tune-n25-04,25,10000,0.3,0.6,0.999,100,0,505.57,496.99,7.54,0.0,1.04,24,1,32.38,True
RDL-tune-n25-04,25,10000,0.3,0.6,0.999,100,1,508.53,506.93,0.0,1.61,0.0,25,0,30.26,True
